Country,Country Code,Average Exports
Canada,CAN,2.71E+11
Mexico,MEX,1.97E+11
China,CHN,1.01E+11
Japan,JPN,6.35E+10
United Kingdom,GBR,5.25E+10
Germany,DEU,4.94E+10
South Korea,KOR,4.02E+10
Netherlands,NLD,3.90E+10
Hong Kong,HKG,3.26E+10
Brazil,BRA,3.55E+10
France,FRA,2.96E+10
Belgium,BEL,2.94E+10
Singapore,SGP,2.84E+10
Taiwan,TWN,2.50E+10
India,IND,2.04E+10
Australia,AUS,2.42E+10
Switzerland,CHE,2.21E+10
United Arab Emirates,ARE,1.81E+10
Italy,ITA,1.58E+10
Saudi Arabia,SAU,1.54E+10
Chile,CHL,1.37E+10
Colombia,COL,1.39E+10
Malaysia,MYS,1.27E+10
Israel,ISR,1.31E+10
Spain,ESP,1.03E+10
Thailand,THA,1.01E+10
Ireland,IRL,8.07E+09
Turkey,TUR,1.03E+10
Argentina,ARG,8.65E+09
Peru,PER,7.74E+09
Philippines,PHL,7.85E+09
Viet Nam,VNM,5.14E+09
Dominican Republic,DOM,6.96E+09
Russian Federation,RUS,8.07E+09
Guatemala,GTM,5.38E+09
Indonesia,IDN,6.77E+09
Panama,PAN,7.07E+09
Costa Rica,CRI,5.98E+09
Norway,NOR,3.76E+09
Kuwait,KWT,2.98E+09
Honduras,HND,5.06E+09
South Africa,ZAF,5.97E+09
Ecuador,ECU,5.39E+09
Poland,POL,3.49E+09
Austria,AUT,3.32E+09
Venezuela,VEN,1.04E+10
Egypt,EGY,5.36E+09
New Zealand,NZL,3.24E+09
Sweden,SWE,4.50E+09
Qatar,QAT,3.63E+09
El Salvador,SLV,2.86E+09
Bahamas,BHS,2.92E+09
Pakistan,PAK,1.89E+09
Paraguay,PRY,1.81E+09
Czech Republic,CZE,1.73E+09
Morocco,MAR,1.97E+09
Denmark,DNK,2.32E+09
Nigeria,NGA,4.04E+09
Jamaica,JAM,1.97E+09
Oman,OMN,1.60E+09
Jordan,JOR,1.48E+09
Hungary,HUN,1.57E+09
Trinidad and Tobago,TTO,2.19E+09
Ukraine,UKR,1.49E+09
Uruguay,URY,1.20E+09
Nicaragua,NIC,1.12E+09
Finland,FIN,2.33E+09
Bangladesh,BGD,7.94E+08
Haiti,HTI,1.08E+09
Lebanon,LBN,1.36E+09
Iraq,IRQ,1.82E+09
Portugal,PRT,1.34E+09
Gibraltar,GIB,2.27E+09
Luxembourg,LUX,1.40E+09
Algeria,DZA,1.61E+09
Aruba,ABW,8.14E+08
Greece,GRC,1.23E+09
Romania,ROU,8.19E+08
Afghanistan,AFG,1.24E+09
Bahrain,BHR,9.88E+08
Cayman Islands,CYM,7.01E+08
Ethiopia,ETH,8.26E+08
Ghana,GHA,9.15E+08
Angola,AGO,1.43E+09
Bermuda,BMU,6.61E+08
Curacao,CUW,4.15E+08
Lithuania,LTU,6.92E+08
Bolivia,BOL,6.62E+08
Saint Lucia,LCA,4.05E+08
Marshall Islands,MHL,1.42E+08
Kazakhstan,KAZ,8.29E+08
Tunisia,TUN,6.00E+08
Barbados,BRB,4.77E+08
Macao,MAC,3.70E+08
Togo,TGO,3.93E+08
Kenya,KEN,6.45E+08
Croatia,HRV,3.43E+08
Slovakia,SVK,3.65E+08
Antigua and Barbuda,ATG,2.57E+08
Cambodia,KHM,2.46E+08
Iceland,ISL,4.48E+08
