Item,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2007 to 2017 (Dollar Change)
TOTAL,1148198722191,1287441996730,1056042963028,1278494525839,1482507755226,1545820839892,1578516879950,1621873792910,1503328349746,1451023529686,1546272961061,398074238870
336--TRANSPORTATION EQUIPMENT,204123478492,206145349074,165375125755,190886685380,210276806860,241336911762,258286017093,273783832012,275643368244,276709648945,278299372348,74175893856
324--PETROLEUM & COAL PRODUCTS,31279031127,59030458094,41595109861,61438246495,101932699766,111149840010,119521377095,117955843213,78610022003,66782795425,83972313075,52693281948
325--CHEMICALS,151680179762,171642127430,152255091379,179502159029,197473465840,197529227481,199501664479,200407395765,193834180278,184387346942,192820418533,41140238771
211--OIL & GAS,5826391432,8746765075,6736550661,9643007423,12295824042,11403814171,17595592630,29587072133,20392562131,22628222941,45088802208,39262410776
339--MISCELLANEOUS MANUFACTURED COMMODITIES,52156957969,59665287702,52740251159,61084904755,70134115661,72481076759,77851951023,81911756609,78248748101,78418180005,80383563470,28226605501
311--FOOD MANUFACTURES,39427185539,49337340974,44679369427,51888511605,60072904398,64927324876,68774669428,70684281547,63205077200,61508350068,64069272926,24642087387
335--ELECTRICAL EQUIPMENT; APPLIANCES & COMPONENTS,36729304839,38290922137,31386180432,37584652893,49774113315,54295716961,57143184314,60613752697,60403857368,57088352558,59596305431,22867000592
334--COMPUTER AND ELECTRONIC PRODUCTS,187047039876,190281712426,160627813993,190435293476,198035399978,203163718673,204639733911,209122598481,204697316944,201935096134,208126018965,21078979089
111--AGRICULTURAL PRODUCTS,48096536275,62950574820,50825602090,60246115997,71811892719,71077654776,68935141909,72928742031,62911788883,67571708792,68708792994,20612256719
930--USED OR SECOND-HAND MERCHANDISE,0,0,0,0,19842457085,19106789258,19070363962,20580472764,18803609330,18133944494,19398911579,19398911579
332--FABRICATED METAL PRODUCTS; NESOI,32300314790,35230619927,30205787007,35765029740,40260465704,43721702376,46364164773,49251363923,47051354961,44685589932,45703033609,13402718819
326--PLASTICS & RUBBER PRODUCTS,23224041338,24715115584,21633044651,25915393825,29991880241,31775573778,32479103245,33872828764,33156093894,32230614431,33449363691,10225322353
331--PRIMARY METAL MFG,48031007453,58626990798,40656297437,53539504478,76612958883,78403600792,73406514178,64073371607,55716174382,51832728299,56501666005,8470658552
990--SPECIAL CLASSIFICATION PROVISIONS; NESOI,35395332830,39705110375,32783653926,43899601395,41905082351,40897758801,42522744705,43816848587,41842774552,40499035909,42805754580,7410421750
212--MINERALS & ORES,11398234930,16215144305,10882948441,17245865797,25631210520,23878357256,20518414803,18998698168,14498613790,11863983061,18031505037,6633270107
312--BEVERAGES & TOBACCO PRODUCTS,4449195155,5089155350,4660638478,5765053072,6795158560,7438987391,8843526321,8959858763,9486414075,8738534601,8607289525,4158094370
322--PAPER,20538252311,22481831915,19699854986,23652070951,24808027725,24430829260,24788708931,24911632709,24208544548,22999241295,24402351598,3864099287
327--NONMETALLIC MINERAL PRODUCTS,8815217294,9438923449,7927815368,9815378555,10849292341,10920374867,11230215480,11859139046,11563402082,11456989936,12117307917,3302090623
321--WOOD PRODUCTS,5260103359,5310908832,4193112578,5345377663,5866974338,6226215215,6771099651,7502624293,7067429027,7096610404,7834177942,2574074583
114--FISH; FRESH/CHILLED/FROZEN & OTHER MARINE PRODUCTS,4045463840,4005422837,3692506969,4240128806,5368534971,5264255239,5484471190,5717639601,5531160322,5393156103,5795935646,1750471806
337--FURNITURE & FIXTURES,4303634358,4921415754,4000767172,4586798258,5170864039,5751210858,5925319152,6199125271,5899478588,5567863075,5680452650,1376818292
333--MACHINERY; EXCEPT ELECTRICAL,132830719647,145431236765,113415804345,137799646370,150917264305,159547805816,150139075021,152587334898,139100946653,124678973992,133952228350,1121508703
315--APPAREL MANUFACTURING PRODUCTS,4198472272,4282130580,4020043825,4496737403,4824585701,5164548718,5439285238,5695035405,5696616470,5302044235,5315109856,1116637584
316--LEATHER & ALLIED PRODUCTS,3381405708,3261930848,2698959667,3401873484,3974369158,4178663838,4760407518,5029561831,4726262670,4538088052,4462708058,1081302350
313--TEXTILES & FABRICS,8488745887,8475361400,6685486331,8160499502,9754746745,9310537950,9647353363,10024617582,9762246606,9115526266,9339127060,850381173
113--FORESTRY PRODUCTS; NESOI,1994268316,1975395782,1702106343,2285165486,2731791453,2410686520,2876112569,2954132337,2458528241,2434463003,2743766725,749498409
112--OTHER ANIMALS,1413412335,1566069925,1427040254,1577937669,1950506085,2371776854,2441584330,2257948165,2091520307,1921762995,1972539806,559127471
314--TEXTILE MILLS PRODUCTS,2899125969,2892014272,2556716390,2903453924,3027745359,3168308333,3251890120,3294449326,3244249470,3150575372,3303744354,404618385
ZZZ--TRADED ITEMS; NESOI,0,0,0,0,0,0,0,0,0,0,0,0
3ZZ--MANUFACTURING PRODUCTS; NESOI,0,0,0,0,0,0,0,0,0,0,0,0
33Z--MANUFACTURING PRODUCTS; PART 3; NESOI,0,0,0,0,0,0,0,0,0,0,0,0
11Z--AGRICULTURE AND LIVESTOCK PRODUCTS; NESOI,0,0,0,0,0,0,0,0,0,0,0,0
980--GOODS RET TO CA (EXP); US GOODS RET & REIMPS (IMP),276225809,623030700,200459945,169813253,188623352,174244353,107935621,118267848,87111249,77686656,137208886,-139016923
511--NEWSPAPERS; BOOKS & OTHER PUBLISHED MATTER; NESOI,960151188,849325061,837069185,961498686,908879337,0,0,0,0,0,0,-960151188
323--PRINTED MATTER AND RELATED PRODUCTS; NESOI,6649691084,6876692203,6094868086,6426951885,6533111439,6476065480,6404743185,6041805894,5696866589,5436276117,5336611400,-1313079684
910--WASTE AND SCRAP,22481502613,29341898434,21857189899,29571981985,32786002955,27837261470,23794514712,21131761640,17692030788,16840139648,18317306837,-4164195776
920--USED OR SECOND-HAND MERCHANDISE,8498098394,10035733902,7989696988,8259186599,0,0,0,0,0,0,0,-8498098394
