Item,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
TOTAL,62936891576,69732837543,69496678611,91911080944,104121523635,110516615672,121746188637,123657203406,115873365314,115545507660,129893586716
88--AIRCRAFT; SPACECRAFT; AND PARTS THEREOF,5218880235,3909805080,5336732166,5762796389,6398398620,8366104861,12587374948,13927951108,15440988552,14577460106,16265664020
84--NUCLEAR REACTORS; BOILERS; MACHINERY ETC.; PARTS,8591852895,9384858350,8397218261,11219863487,12246834845,11554011847,12206823614,12488745291,12247769089,11371038073,12887689205
12--OIL SEEDS ETC.; MISC GRAIN; SEED; FRUIT; PLANT ETC,4179353176,7322256203,9294690031,11036956186,10714269930,15146749047,13698826517,14936965663,11056361935,14905771488,12868864649
87--VEHICLES; EXCEPT RAILWAY OR TRAMWAY; AND PARTS ETC,1969912082,1877383013,1921802128,4510486489,6767790242,7059856154,10330140689,13268973639,10808809747,11030441626,12854300667
85--ELECTRIC MACHINERY ETC; SOUND EQUIP; TV EQUIP; PTS,10666281159,11366211375,9477890011,11524897695,10164158455,9667167407,11388647532,12019641804,12752972078,12377670716,12131710889
90--OPTIC; PHOTO ETC; MEDIC OR SURGICAL INSTRMENTS ETC,3284204896,3714773536,3960400736,5204003380,5757912929,7034587311,7667147188,7527372647,7920833475,8267977435,8816878866
27--MINERAL FUEL; OIL ETC.; BITUMIN SUBST; MINERAL WAX,297896503,445903158,533547670,1354454993,2038333881,2440877013,2803880265,1745707277,2219088587,2570396765,8572094620
39--PLASTICS AND ARTICLES THEREOF,3600940408,3836183349,4364359842,4842082546,5123369151,4698338897,4755206800,5078182970,4908138427,4932783802,5660241898
47--WOOD PULP ETC; RECOVD (WASTE & SCRAP) PPR & PPRBD,2053178180,2233849223,2491509913,3052346040,3995342760,3820025811,3601608174,3364158013,3413743070,3367643434,3358016933
44--WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL,577887088,524618755,549797644,1164521331,1934269833,1642638352,2347060062,2664119256,2068833383,2545753078,3198277328
29--ORGANIC CHEMICALS,2101193241,2083412729,2392104687,2979165562,3524176837,3239506263,3102616716,2374411847,2445078296,2532232057,2809762468
30--PHARMACEUTICAL PRODUCTS,355058479,392487036,478398091,616976874,981549292,1066894118,1219912162,1597348541,1848601028,2001157109,2448913700
38--MISCELLANEOUS CHEMICAL PRODUCTS,906551674,1082932631,1013146692,1370603613,1541779967,1691779063,1987588471,2148621309,1899425201,1952804849,2445443098
74--COPPER AND ARTICLES THEREOF,2162327951,2058658851,1777164176,2885961786,3773521137,3941476267,3469878799,2909331802,1836395903,1697605027,1937440544
