,Partner,mean export
0,Canada,269905591136.1
1,Mexico,192733167406.2
2,China,98553789299.8
3,Japan,63142603813.5
4,United Kingdom,52112649788.1
5,Germany,48967691300.3
6,Netherlands,38791871084.0
7,Brazil,35301828721.3
8,Belgium,29350751531.0
9,France,29186150701.4
10,Singapore,28256349190.3
11,Australia,24157550826.0
12,Switzerland,22187875275.7
13,India,19838724734.9
14,United Arab Emirates,17953858475.4
15,Italy,15489565919.2
16,Saudi Arabia,15253433464.2
17,Colombia,13999364293.9
18,Chile,13746674102.5
19,Israel,13201741086.9
20,Malaysia,12638905225.9
21,Turkey,10386322578.1
22,Spain,10276556692.1
23,Thailand,10042360727.5
24,Argentina,8555746783.4
25,Russian Federation,8173349339.6
26,Ireland,7811500174.4
27,Philippines,7792475341.3
28,Peru,7648787657.3
29,Panama,7143851438.5
30,Dominican Republic,6877145106.3
31,Indonesia,6761971254.4
32,South Africa,6064389598.8
33,Costa Rica,5955854598.3
34,Ecuador,5441894103.3
35,Guatemala,5229132914.0
36,Honduras,5058825625.9
37,Sweden,4571303509.7
38,Nigeria,4224217244.0
39,Qatar,3677678791.4
40,Norway,3588011588.6
41,Poland,3383955465.7
42,Austria,3220196672.5
43,New Zealand,3172862574.0
44,El Salvador,2841830968.8
45,Kuwait,2764481029.3
46,Finland,2409328742.3
47,Denmark,2329444363.7
48,Trinidad and Tobago,2227919613.3
49,Jamaica,1951039169.0
50,Morocco,1944448109.0
51,Iraq,1884863627.0
52,Pakistan,1798363584.9
53,Paraguay,1724271214.0
54,Czech Republic,1672765511.3
55,Algeria,1669057475.8
56,Oman,1560093103.4
57,Hungary,1542221184.0
58,Angola,1487006982.7
59,Ukraine,1462361230.3
60,Luxembourg,1433925906.4
61,Jordan,1433044319.4
62,Lebanon,1375680126.7
63,Portugal,1355500703.5
64,Afghanistan,1269460083.0
65,Greece,1255498181.0
66,Uruguay,1164267482.0
67,Nicaragua,1068271783.2
68,Haiti,1046454673.1
69,Bahrain,997131731.5
70,Ghana,920129821.5
71,Kazakhstan,856284314.2
72,Ethiopia,821241367.8
73,Romania,805156915.8
74,Bangladesh,725685300.0
75,Lithuania,700448450.1
76,Bolivia,668632328.4
77,Kenya,663920132.4
78,Tunisia,605937793.5
79,Benin,543866727.2
80,Barbados,472555359.3
81,Georgia,463036326.7
82,Malta,453423666.2
83,Iceland,452394739.3
84,Suriname,410169525.2
85,Latvia,397250434.6
86,Azerbaijan,392780903.1
87,Togo,384079732.7
88,Slovenia,340235875.5
89,Croatia,332024098.2
90,Equatorial Guinea,328851819.8
91,Guyana,325190861.5
92,Bulgaria,294247199.1
93,Sri Lanka,283856798.1
94,Belize,277986253.8
95,Gabon,271381075.7
96,Mozambique,264467643.6
97,Estonia,253765158.6
98,Antigua and Barbuda,239845618.8
99,Cambodia,230804256.1
100,Cameroon,206889081.6
101,Uzbekistan,200049390.4
102,Namibia,196041051.6
103,Senegal,187942833.9
104,Papua New Guinea,187932801.5
105,Mongolia,179093764.0
106,Liberia,160640257.0
107,Turkmenistan,158794680.6
108,Cyprus,154369232.5
109,Mauritania,152083059.9
110,Serbia,133671505.0
111,Belarus,120774542.7
112,Guinea,113009447.3
113,Marshall Islands,99990577.1
114,Zambia,95942746.9
115,Uganda,93391401.6
116,Armenia,85664468.7
117,Sudan,82712705.8
118,Grenada,80862991.7
119,Dominica,75155149.4
120,Sierra Leone,73274821.8
121,Madagascar,65265050.8
122,Zimbabwe,64335324.0
123,Mauritius,57650245.1
124,Botswana,56668795.6
125,Niger,55459500.0
126,Tajikistan,55141841.7
127,Chad,55048068.7
128,Fiji,51668501.1
129,Mali,48549502.7
130,Malawi,48377567.8
131,Albania,47690426.8
132,Burkina Faso,45240655.2
133,Rwanda,38675371.3
134,Nepal,33987443.0
135,Vanuatu,28453294.9
136,Maldives,28408182.3
137,Bosnia and Herzegovina,28055817.9
138,Montenegro,24561329.8
139,Swaziland,24205491.2
140,Samoa,21835071.2
141,Central African Republic,18588137.9
142,Palau,18049646.1
143,Tonga,17505075.3
144,Seychelles,16288552.8
145,Burundi,12635014.4
146,Kosovo,12157690.4
147,Lesotho,7326339.0
148,Andorra,7044886.8
149,Solomon Islands,6626234.0
150,San Marino,5621596.2
151,Kiribati,5431936.4
152,Nauru,3206756.9
153,Sao Tome and Principe,2998959.1
154,Bhutan,2998250.3
155,Comoros,1551957.4
156,Tuvalu,520830.8
