,state,mean,code
0,Texas,228.96,TX
1,California,153.45,CA
2,New York,78.23,NY
3,Washington,69.04,WA
4,Illinois,58.5,IL
5,Florida,55.75,FL
6,Michigan,50.1,MI
7,Louisiana,48.91,LA
8,Ohio,46.34,OH
9,Pennsylvania,36.46,PA
10,New Jersey,33.78,NJ
11,Georgia,32.57,GA
12,Indiana,30.91,IN
13,Tennessee,28.25,TN
14,North Carolina,27.22,NC
15,Massachusetts,26.25,MA
16,South Carolina,24.16,SC
17,Kentucky,22.8,KY
18,Wisconsin,21.11,WI
19,Minnesota,19.46,MN
20,Arizona,19.04,AZ
21,Oregon,18.65,OR
22,Virginia,17.58,VA
23,Alabama,17.42,AL
24,Connecticut,15.33,CT
25,Utah,13.42,UT
26,Missouri,13.16,MO
27,Iowa,12.4,IA
28,Kansas,11.02,KS
29,Maryland,10.6,MD
30,Mississippi,9.5,MS
31,Nevada,7.65,NV
32,Colorado,7.56,CO
33,West Virginia,6.86,WV
34,Nebraska,6.37,NE
35,Arkansas,6.0,AR
36,Oklahoma,5.58,OK
37,Idaho,5.09,ID
38,Delaware,4.93,DE
39,Alaska,4.34,AK
40,New Hampshire,3.78,NH
41,Vermont,3.72,VT
42,North Dakota,3.65,ND
43,Maine,2.88,ME
44,New Mexico,2.72,NM
45,Rhode Island,2.07,RI
46,South Dakota,1.43,SD
47,Montana,1.4,MT
48,Wyoming,1.18,WY
49,Hawaii,0.91,HI
