Partner,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
World,1.1482E+12,1.28744E+12,1.05604E+12,1.27849E+12,1.48251E+12,1.54582E+12,1.57852E+12,1.62187E+12,1.50333E+12,1.45102E+12,1.54627E+12
Canada,2.48888E+11,2.6115E+11,2.04658E+11,2.49256E+11,2.81292E+11,2.92651E+11,3.00755E+11,3.12817E+11,2.80855E+11,2.66734E+11,2.82265E+11
Mexico,1.35918E+11,1.5122E+11,1.28892E+11,1.63665E+11,1.98289E+11,2.15875E+11,2.25954E+11,2.41007E+11,2.3646E+11,2.30051E+11,2.43314E+11
China,62936891576,69732837543,69496678611,91911080944,1.04122E+11,1.10517E+11,1.21746E+11,1.23657E+11,1.15873E+11,1.15546E+11,1.29894E+11
Japan,61159582766,65141753124,51134184201,60471852133,65799736713,69975786856,65237414094,66891842650,62387809646,63226075952,67605076964
United Kingdom,49981491297,53599069711,45703598254,48410311047,56033108347,54860484359,47361236230,53913170241,56094705824,55169322571,56257922547
Germany,49419703142,54505255730,43306258441,48155263220,49294189419,48802968878,47363465586,49418841185,49978833642,49432133760,53896753486
South Korea,34401709969,34668671020,28611928167,38820637297,43461636035,42282565212,41648727506,44649563379,43483975006,42312661833,48326408702
Netherlands,32836958949,39719476892,32241517656,34740302131,42227119015,40618286512,42577045423,43141223376,40211651705,39605129181,41510332962
"Hong Kong SAR, China",19901654480,21498619389,21050525179,26570450803,36398784628,37471809096,42332232943,40913401409,37182746594,34895198640,39939130227
Brazil,24172315213,32298654561,26095455340,35417674011,43018838986,43771278235,44105506964,42431727466,31640538352,30066298085,37221566249
France,26675969747,28840096938,26493009350,26969951939,27856813717,30812883841,31743718451,31289479114,30026310133,31153273784,33595514399
Belgium,25258518805,28903481869,21607727193,25457982517,29990463874,29438360969,31840185737,34736299812,34173801448,32100693086,29923692464
Singapore,25618565860,27853610178,22231821976,29008615357,31282363017,30523214544,30665030257,30067829728,28480840145,26831600841,29805915154
Taiwan,25828669191,24926275971,18485640877,26050037333,25932497638,24337097719,25522769412,26675060570,25826012762,26034342726,25729504439
India,14968845536,17682084740,16441395486,19248886968,21542184381,22105737858,21810447551,21499085305,21452908500,21635671024,25688861698
