Partner,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
World,1148200000000.00,1287440000000.00,1056040000000.00,1278490000000.00,1482510000000.00,1545820000000.00,1578520000000.00,1621870000000.00,1503330000000.00,1451020000000.00,1546270000000.00
Canada,248888000000.00,261150000000.00,204658000000.00,249256000000.00,281292000000.00,292651000000.00,300755000000.00,312817000000.00,280855000000.00,266734000000.00,282265000000.00
Mexico,135918000000.00,151220000000.00,128892000000.00,163665000000.00,198289000000.00,215875000000.00,225954000000.00,241007000000.00,236460000000.00,230051000000.00,243314000000.00
China,62936891576.00,69732837543.00,69496678611.00,91911080944.00,104122000000.00,110517000000.00,121746000000.00,123657000000.00,115873000000.00,115546000000.00,129894000000.00
Japan,61159582766.00,65141753124.00,51134184201.00,60471852133.00,65799736713.00,69975786856.00,65237414094.00,66891842650.00,62387809646.00,63226075952.00,67605076964.00
United Kingdom,49981491297.00,53599069711.00,45703598254.00,48410311047.00,56033108347.00,54860484359.00,47361236230.00,53913170241.00,56094705824.00,55169322571.00,56257922547.00
Germany,49419703142.00,54505255730.00,43306258441.00,48155263220.00,49294189419.00,48802968878.00,47363465586.00,49418841185.00,49978833642.00,49432133760.00,53896753486.00
South Korea,34401709969.00,34668671020.00,28611928167.00,38820637297.00,43461636035.00,42282565212.00,41648727506.00,44649563379.00,43483975006.00,42312661833.00,48326408702.00
Netherlands,32836958949.00,39719476892.00,32241517656.00,34740302131.00,42227119015.00,40618286512.00,42577045423.00,43141223376.00,40211651705.00,39605129181.00,41510332962.00
Hong Kong,19901654480.00,21498619389.00,21050525179.00,26570450803.00,36398784628.00,37471809096.00,42332232943.00,40913401409.00,37182746594.00,34895198640.00,39939130227.00
Brazil,24172315213.00,32298654561.00,26095455340.00,35417674011.00,43018838986.00,43771278235.00,44105506964.00,42431727466.00,31640538352.00,30066298085.00,37221566249.00
France,26675969747.00,28840096938.00,26493009350.00,26969951939.00,27856813717.00,30812883841.00,31743718451.00,31289479114.00,30026310133.00,31153273784.00,33595514399.00
Belgium,25258518805.00,28903481869.00,21607727193.00,25457982517.00,29990463874.00,29438360969.00,31840185737.00,34736299812.00,34173801448.00,32100693086.00,29923692464.00
Singapore,25618565860.00,27853610178.00,22231821976.00,29008615357.00,31282363017.00,30523214544.00,30665030257.00,30067829728.00,28480840145.00,26831600841.00,29805915154.00
Taiwan,25828669191.00,24926275971.00,18485640877.00,26050037333.00,25932497638.00,24337097719.00,25522769412.00,26675060570.00,25826012762.00,26034342726.00,25729504439.00
India,14968845536.00,17682084740.00,16441395486.00,19248886968.00,21542184381.00,22105737858.00,21810447551.00,21499085305.00,21452908500.00,21635671024.00,25688861698.00
Australia,19178197903.00,22218649074.00,19599303927.00,21804647444.00,27626182324.00,31161378813.00,26123737344.00,26681740360.00,25032402498.00,22149268573.00,24526835921.00
Switzerland,17039261465.00,22023645856.00,17504409869.00,20703849321.00,24486242385.00,26406154155.00,26558942638.00,22204420118.00,22154240851.00,22797586099.00,21684835238.00
United Arab Emirates,10786648688.00,14417398443.00,12210863357.00,11662455901.00,15921629417.00,22559108724.00,24476064517.00,22115343552.00,23001078211.00,22387993944.00,20019696481.00
Italy,14149624058.00,15460835761.00,12268011950.00,14219893087.00,16037489503.00,16097123281.00,16757095740.00,16968945258.00,16212487317.00,16724153237.00,18404689805.00
Saudi Arabia,10395890781.00,12484248431.00,10792157268.00,11506200861.00,13923664673.00,17961238469.00,18962914928.00,18716920271.00,19791575408.00,17999523552.00,16348000104.00
Chile,8148107198.00,11857443806.00,9345620179.00,10906674806.00,15993031002.00,18773140514.00,17515894876.00,16541390489.00,15448915234.00,12936522921.00,13605342592.00
Colombia,8557677097.00,11437270464.00,9451459411.00,12067665283.00,14335692038.00,16356802727.00,18371032417.00,20066601912.00,16302184612.00,13047256978.00,13312122946.00
