Country Name,mean export,mean import,mean gdp,mean balance
Canada,269905591136.1,305589823949.1,1632974186634.712,-35684232812.99997
Mexico,192733167406.2,254040609258.5,1120823950240.1248,-61307441852.29999
China,98553789299.8,400018090147.4,7784747168448.564,-301464300847.60004
Japan,63142603813.5,131299667204.1,5217301203153.4375,-68157063390.600006
United Kingdom,52112649788.1,53875722482.1,2736682446205.8423,-1763072694.0
Germany,48967691300.3,103103812393.9,3582562859622.319,-54136121093.59999
Netherlands,38791871084.0,19347732305.9,847421674190.6377,19444138778.1
Brazil,35301828721.3,27507440614.0,2057882976008.859,7794388107.300003
France,29186150701.4,42722711533.4,2702817149305.2734,-13536560832.0
Belgium,29350751531.0,17323966661.0,495859758212.1969,12026784870.0
Singapore,28256349190.3,17720751847.5,257026873704.2691,10535597342.8
India,19838724734.9,35512207080.9,1726508317353.433,-15673482346.0
Australia,24157550826.0,9597238780.0,1248467214849.1863,14560312046.0
Switzerland,22187875275.7,24514056747.0,627301644895.249,-2326181471.299999
United Arab Emirates,17953858475.4,2091532033.4,334286233979.57794,15862326442.000002
Italy,15489565919.2,36764374070.6,2122660133747.657,-21274808151.399998
Saudi Arabia,15253433464.2,38483756117.0,610147324844.6449,-23230322652.8
Chile,13746674102.5,8604198861.7,229246627569.0108,5142475240.799999
Colombia,13999364293.9,16506429031.2,300968336879.67926,-2507064737.300001
Malaysia,12638905225.9,29269935819.7,274833978374.183,-16631030593.800001
Israel,13201741086.9,22053986200.5,257224844913.42984,-8852245113.6
Spain,10276556692.1,11446974695.1,1404296966483.9238,-1170418003.0
Thailand,10042360727.5,25047766186.6,357883055023.7948,-15005405459.099998
Ireland,7811500174.4,34684531761.3,256071500635.16373,-26873031586.9
Turkey,10386322578.1,5863207778.2,817141948843.2678,4523114799.900001
Argentina,8555746783.4,4434859334.8,469037051226.52795,4120887448.5999994
Peru,7648787657.3,5908893341.3,163917100614.2116,1739894316.0
Philippines,7792475341.3,9135667112.3,231981575952.32782,-1343191770.999999
Dominican Republic,6877145106.3,4189979367.0,58003325567.389915,2687165739.3
Russian Federation,8173349339.6,23563363129.4,1697984599131.3462,-15390013789.800001
Guatemala,5229132914.0,3881223010.8,49547012279.322365,1347909903.1999998
Indonesia,6761971254.4,17368950323.0,774073916183.7277,-10606979068.6
Panama,7143851438.5,405608843.2,37666143400.0,6738242595.3
Costa Rica,5955854598.3,7460016862.9,42660033169.590324,-1504162264.5999994
Norway,3588011588.6,6218880045.7,446903115146.6302,-2630868457.1
Kuwait,2764481029.3,7326581177.9,137368960997.69441,-4562100148.599999
Honduras,5058825625.9,4292061681.9,17334503647.877388,766763943.9999995
South Africa,6064389598.8,8213994560.3,340285515466.6493,-2149604961.5
Ecuador,5441894103.3,8290023640.4,80680701600.0,-2848129537.0999994
Poland,3383955465.7,4048068720.8,492960013041.99786,-664113255.1000004
Austria,3220196672.5,9406200559.8,409641637165.8092,-6186003887.299999
New Zealand,3172862574.0,3401114855.5,163491706111.4485,-228252281.5
Sweden,4571303509.7,10506032491.6,519174481541.9209,-5934728981.900001
Qatar,3677678791.4,970278965.2,149455747118.13187,2707399826.2
El Salvador,2841830968.8,2323385702.7,23282282000.0,518445266.1000004
Pakistan,1798363584.9,3580851000.8,213104314818.16187,-1782487415.9
Paraguay,1724271214.0,135713395.5,23250819867.560947,1588557818.5
Czech Republic,1672765511.3,3387675720.6,207328405561.60498,-1714910209.3
Morocco,1944448109.0,857381404.1,97899970022.09135,1087066704.9
Denmark,2329444363.7,6730086147.8,329194941933.89,-4400641784.1
Nigeria,4224217244.0,19500213828.4,375494148527.73596,-15275996584.400002
Jamaica,1951039169.0,462686608.7,13738975421.30761,1488352560.3
Oman,1560093103.4,1116947109.0,65074556540.962296,443145994.4000001
Jordan,1433044319.4,1222557385.4,29469864942.06661,210486934.0
Hungary,1542221184.0,3695090951.2,135203405583.34282,-2152869767.2
Trinidad and Tobago,2227919613.3,6564811679.2,24003892573.643433,-4336892065.9
Ukraine,1462361230.3,1134070754.8,141600838874.86456,328290475.5
Uruguay,1164267482.0,387851469.5,44541027944.09155,776416012.5
Nicaragua,1068271783.2,2467198707.0,10212597587.416252,-1398926923.8
Finland,2409328742.3,4735540136.8,258233827974.09863,-2326211394.5
Bangladesh,725685300.0,4749605268.8,139036345781.09076,-4023919968.8
Haiti,1046454673.1,716212134.0,7502425863.165883,330242539.1
Lebanon,1375680126.7,88981838.2,40455121214.34163,1286698288.5
Iraq,1884863627.0,12857666150.9,169480789378.03107,-10972802523.9
Portugal,1355500703.5,2694542529.6,230544956827.52188,-1339041826.1
Luxembourg,1433925906.4,554061586.8,57248594921.512436,879864319.6000001
Algeria,1669057475.8,10306846159.8,176196259075.9749,-8637788684.0
Greece,1255498181.0,1027026503.9,270091322197.45282,228471677.10000002
Romania,805156915.8,1493867838.2,182871249153.1112,-688710922.4000001
Afghanistan,1269460083.0,60061314.2,16570600718.88313,1209398768.8
Bahrain,997131731.5,653825187.8,28485045212.765972,343306543.70000005
Ethiopia,821241367.8,175615837.2,42450840489.322075,645625530.5999999
Ghana,920129821.5,316825695.9,35959910347.349655,603304125.6
Angola,1487006982.7,9624348844.6,97209084093.36562,-8137341861.900001
Lithuania,700448450.1,954707149.8,42763449721.09932,-254258699.69999993
Bolivia,668632328.4,981054117.5,24829375976.14841,-312421789.1
Marshall Islands,99990577.1,19017535.8,172774050.0,80973041.3
Kazakhstan,856284314.2,1389428880.4,168198946242.3813,-533144566.20000005
Tunisia,605937793.5,513445849.8,44118349316.172966,92491943.69999999
Barbados,472555359.3,47944250.6,4567805000.0,424611108.7
Togo,384079732.7,15629710.7,3669689948.354211,368450022.0
Kenya,663920132.4,420102700.7,48807995178.76195,243817431.7
Croatia,332024098.2,404692268.0,58615226058.3595,-72668169.80000001
Antigua and Barbuda,239845618.8,8589568.3,1270807554.1111112,231256050.5
Cambodia,230804256.1,2596327438.1,13779735437.083746,-2365523182.0
Iceland,452394739.3,260548529.6,16345985154.857342,191846209.70000002
Georgia,463036326.7,194877673.5,13667527096.54793,268158653.2
Latvia,397250434.6,269504712.8,28908355369.865105,127745721.80000001
Bulgaria,294247199.1,455298327.5,52891855482.128235,-161051128.39999998
Guyana,325190861.5,351975913.9,2620001794.035685,-26785052.399999976
Slovenia,340235875.5,562594065.0,48540873161.83984,-222358189.5
Suriname,410169525.2,214512492.8,4260704158.4337287,195657032.39999998
Azerbaijan,392780903.1,1652610821.7,55506365440.007065,-1259829918.6
Sri Lanka,283856798.1,2251359074.8,62119129359.065956,-1967502276.7000003
